# Frame_ID, Timestamp(ns), X(m), Y(m), Z(m), Qw, Qx, Qy, Qz
94, 2776200771, -0.004115, 0.047803, -0.068610, 0.999981, 0.005066, -0.002211, -0.002852
95, 2809515237, -0.006131, 0.046541, -0.066830, 0.999982, 0.004880, -0.002020, -0.002879
96, 2842920541, -0.007463, 0.045756, -0.065481, 0.999983, 0.004859, -0.001826, -0.002801
97, 2876434326, -0.007857, 0.045226, -0.064794, 0.999983, 0.004870, -0.001781, -0.002767
98, 2909812450, -0.007781, 0.045030, -0.065011, 0.999983, 0.004803, -0.001812, -0.002783
99, 2943270444, -0.007089, 0.044796, -0.065439, 0.999983, 0.004769, -0.001871, -0.002811
100, 2976574420, -0.006502, 0.044971, -0.065950, 0.999983, 0.004785, -0.001928, -0.002797
101, 3010035037, -0.005900, 0.044967, -0.066040, 0.999983, 0.004719, -0.002015, -0.002838
102, 3043298244, -0.005184, 0.044983, -0.066349, 0.999983, 0.004682, -0.002099, -0.002865
103, 3077045440, -0.004301, 0.044932, -0.066584, 0.999983, 0.004655, -0.002208, -0.002805
104, 3110209226, -0.003223, 0.044752, -0.066951, 0.999982, 0.004631, -0.002342, -0.002840
105, 3143565416, -0.001721, 0.044905, -0.067568, 0.999982, 0.004631, -0.002497, -0.002820
106, 3177253723, -0.000572, 0.044917, -0.068187, 0.999982, 0.004656, -0.002589, -0.002800
107, 3210390329, -0.000091, 0.045269, -0.068136, 0.999982, 0.004708, -0.002605, -0.002827
108, 3243677616, 0.000329, 0.045357, -0.067971, 0.999982, 0.004682, -0.002640, -0.002798
109, 3277682304, 0.000082, 0.045307, -0.067561, 0.999982, 0.004679, -0.002591, -0.002743
110, 3310769081, 0.000077, 0.045166, -0.067664, 0.999982, 0.004729, -0.002572, -0.002744
111, 3344429731, -0.000370, 0.045197, -0.067407, 0.999982, 0.004727, -0.002542, -0.002720
112, 3377795696, -0.000546, 0.044863, -0.067732, 0.999982, 0.004703, -0.002518, -0.002713
113, 3411100625, -0.001200, 0.044875, -0.067229, 0.999982, 0.004708, -0.002455, -0.002655
114, 3444460868, -0.001777, 0.044788, -0.066752, 0.999983, 0.004623, -0.002413, -0.002751
115, 3477950096, -0.001951, 0.044710, -0.066702, 0.999983, 0.004588, -0.002413, -0.002726
116, 3511015892, -0.002458, 0.044806, -0.066408, 0.999983, 0.004610, -0.002325, -0.002727
117, 3545059204, -0.002559, 0.044768, -0.066284, 0.999983, 0.004546, -0.002361, -0.002792
118, 3577951669, -0.003008, 0.044837, -0.065948, 0.999983, 0.004587, -0.002281, -0.002777
119, 3611266613, -0.002911, 0.044932, -0.066091, 0.999983, 0.004674, -0.002240, -0.002702
120, 3644650697, -0.002675, 0.044956, -0.066175, 0.999983, 0.004674, -0.002301, -0.002737
121, 3678305625, -0.002450, 0.044951, -0.066504, 0.999982, 0.004708, -0.002321, -0.002757
122, 3711608171, -0.002588, 0.044856, -0.066235, 0.999983, 0.004680, -0.002292, -0.002729
123, 3745042800, -0.002896, 0.045015, -0.066101, 0.999983, 0.004699, -0.002267, -0.002747
124, 3778292179, -0.002895, 0.044999, -0.066144, 0.999983, 0.004669, -0.002276, -0.002739
125, 3811620712, -0.003532, 0.045148, -0.065496, 0.999983, 0.004664, -0.002214, -0.002699
126, 3845041036, -0.003948, 0.045051, -0.065150, 0.999983, 0.004645, -0.002168, -0.002741
127, 3878644943, -0.004389, 0.045046, -0.064926, 0.999983, 0.004625, -0.002125, -0.002740
128, 3911761760, -0.004073, 0.044786, -0.065501, 0.999983, 0.004618, -0.002140, -0.002702
129, 3945557117, -0.004477, 0.044865, -0.065029, 0.999983, 0.004608, -0.002099, -0.002709
130, 3978935003, -0.004639, 0.044801, -0.064674, 0.999984, 0.004595, -0.002069, -0.002700
131, 4012084007, -0.004928, 0.044725, -0.064514, 0.999984, 0.004571, -0.001994, -0.002743
132, 4045754432, -0.004936, 0.044567, -0.064361, 0.999984, 0.004570, -0.002012, -0.002705
133, 4079345703, -0.005108, 0.044625, -0.064238, 0.999984, 0.004588, -0.002001, -0.002740
134, 4112500429, -0.004898, 0.044439, -0.064374, 0.999984, 0.004583, -0.001963, -0.002699
135, 4145944595, -0.004946, 0.044478, -0.064450, 0.999984, 0.004600, -0.001981, -0.002643
136, 4179401636, -0.005297, 0.044573, -0.064059, 0.999984, 0.004561, -0.001922, -0.002713
137, 4212873697, -0.005598, 0.044650, -0.063388, 0.999984, 0.004545, -0.001881, -0.002713
138, 4245842933, -0.006064, 0.044685, -0.062857, 0.999984, 0.004508, -0.001847, -0.002711
139, 4279490947, -0.005906, 0.044678, -0.063102, 0.999985, 0.004509, -0.001864, -0.002675
140, 4312851190, -0.006202, 0.044555, -0.062596, 0.999985, 0.004502, -0.001845, -0.002680
141, 4346036672, -0.006189, 0.044528, -0.062669, 0.999985, 0.004506, -0.001793, -0.002653
142, 4379409551, -0.006212, 0.044227, -0.062666, 0.999985, 0.004468, -0.001784, -0.002671
143, 4412756204, -0.006562, 0.044346, -0.062135, 0.999985, 0.004496, -0.001751, -0.002670
144, 4446104764, -0.006955, 0.044278, -0.061713, 0.999985, 0.004480, -0.001667, -0.002661
145, 4480089187, -0.007311, 0.044434, -0.061342, 0.999985, 0.004517, -0.001637, -0.002638
146, 4513458728, -0.007616, 0.044574, -0.060917, 0.999985, 0.004550, -0.001575, -0.002589
147, 4546378135, -0.007831, 0.044459, -0.060654, 0.999985, 0.004490, -0.001557, -0.002655
148, 4579679489, -0.008007, 0.044404, -0.060348, 0.999985, 0.004476, -0.001526, -0.002637
149, 4613074541, -0.007997, 0.044318, -0.060360, 0.999986, 0.004464, -0.001525, -0.002589
150, 4646456003, -0.008198, 0.044252, -0.060199, 0.999986, 0.004432, -0.001526, -0.002598
151, 4680387735, -0.007747, 0.043986, -0.060724, 0.999986, 0.004406, -0.001572, -0.002595
152, 4713678598, -0.007859, 0.044088, -0.060479, 0.999986, 0.004428, -0.001571, -0.002583
153, 4746829748, -0.007467, 0.043940, -0.061078, 0.999986, 0.004432, -0.001608, -0.002593
154, 4780067682, -0.007486, 0.043973, -0.060990, 0.999986, 0.004426, -0.001629, -0.002595
155, 4813483715, -0.007521, 0.043986, -0.061032, 0.999985, 0.004430, -0.001619, -0.002597
156, 4846956253, -0.007372, 0.043932, -0.061228, 0.999985, 0.004455, -0.001642, -0.002560
157, 4880351543, -0.006909, 0.043701, -0.061742, 0.999985, 0.004427, -0.001682, -0.002647
158, 4914130449, -0.006779, 0.043672, -0.061941, 0.999985, 0.004459, -0.001700, -0.002682
159, 4947081565, -0.006826, 0.043855, -0.061652, 0.999985, 0.004444, -0.001711, -0.002617
